wavelength_nm,usgs_aspen_green_reflectance,usgs_dry_grass_reflectance,usgs_sand_reflectance,usgs_seawater_reflectance,chemla_bchl_a_yf10_absorbance,chemla_smurfp_biliverdin_ecoli_absorbance,chemla_smurfp_biliverdin_pputida_absorbance
544.0,0.122431135,0.158419677,0.213729319,0.0264969889,0.108222205,0.13746603,0.150543352
545.0,0.122959699,0.159196284,0.214434286,0.0263820552,0.108424659,0.143355583,0.153424779
546.0,0.12344817,0.15993249,0.21515334,0.0262734031,0.108410969,0.149061406,0.156033712
547.0,0.123846713,0.160603066,0.215869877,0.0261674432,0.107460048,0.155204728,0.157638142
548.0,0.124189257,0.161228892,0.216574604,0.026070861,0.106232212,0.161425355,0.158846655
549.0,0.124530763,0.161842618,0.217275476,0.0259782986,0.105154982,0.167224859,0.159547303
550.0,0.124904926,0.162471374,0.218009733,0.0258827686,0.104214923,0.173379392,0.161468333
551.0,0.12526053,0.16312064,0.21871635,0.0257859666,0.103412585,0.179890377,0.164614636
552.0,0.125525131,0.163790467,0.219407287,0.0256873621,0.103014812,0.186496671,0.168130024
553.0,0.125637068,0.164479541,0.220120021,0.0255879851,0.10284383,0.193290972,0.172078155
554.0,0.125577911,0.165180786,0.220819596,0.025492465,0.103199591,0.200635528,0.177221996
555.0,0.125340032,0.165885903,0.221531963,0.0253985981,0.103822497,0.208460355,0.183431204
556.0,0.124920304,0.166588377,0.222249487,0.0253101728,0.104615484,0.216590951,0.190318691
557.0,0.124333775,0.167289224,0.222914824,0.0252240795,0.104999885,0.223303782,0.19845402
558.0,0.123600162,0.167991159,0.22359727,0.0251413286,0.10532605,0.23024404,0.206890171
559.0,0.122733967,0.168696296,0.224299836,0.0250600103,0.105559574,0.237653525,0.21583562
560.0,0.12172994,0.16940296,0.22501154,0.0249804939,0.10599327,0.244910795,0.225223992
561.0,0.120577907,0.170108687,0.225734527,0.0249017497,0.106401824,0.252091035,0.234911569
562.0,0.119275672,0.170811384,0.226438194,0.0248277679,0.105813497,0.259091609,0.245853924
563.0,0.117853488,0.171510806,0.227121946,0.024755827,0.105324175,0.265956423,0.257014911
564.0,0.116349765,0.172207273,0.227807943,0.0246783265,0.104949682,0.272663782,0.268429473
565.0,0.11479583,0.17290105,0.22842528,0.0245984432,0.103961544,0.279849162,0.280224728
566.0,0.113195177,0.173592834,0.229023812,0.0245099691,0.103041365,0.287069146,0.292102636
567.0,0.111544229,0.174283441,0.229646488,0.0244178135,0.102862942,0.294052897,0.304007381
568.0,0.109839894,0.174973476,0.230240108,0.0243293445,0.102212324,0.301178031,0.315943713
569.0,0.108078778,0.175663543,0.230810784,0.0242424557,0.101212691,0.308407665,0.327903393
570.0,0.106258021,0.176354137,0.231369006,0.0241520867,0.100371409,0.315907959,0.338471468
571.0,0.104388003,0.177045674,0.231930131,0.0240602264,0.0996139277,0.323714724,0.349093699
572.0,0.102532676,0.177738929,0.232476864,0.0239616887,0.0990178911,0.332150766,0.360008468
